citetext,wikihandle,year,citeid,done,datevar,issuevar,volumevar,yearvar,refvar,manual_date
his season ended when doctors discovered torn cartilage in his left wrist in early september and underwentarthroscopic surgery. at the time he was hitting .312 (69-for-221) with eight home runs and 32 runs batted in in 79 games and ranked second amongamerican leaguefirst-year players with a .466slugging percentage. nevertheless he was selected for thebaseball digestandtoppsmajor league baseball rookie all-star teams. at the time of the injury his .312 average was second best among american league rookies{{citation needed|date=june 2012}} and was tops on the angelsclub.<ref>http://www.baseball-reference.com/teams/ana/2001.shtml 2001 anaheim angels batting pitching & fielding statistics</ref>he wound up starting the most games (27) atdesignated hitter but also played 25 games at catcher and 21 at first base.,Shawn_Wooten,2013,1285,0,,,,,,NA
however duringspring trainingprior to the 1955 season spooner entered a game without warming up properly. a severe arm injury was the result and spooner would only appear in 29 more games in his career. prior to the injury spooner yielded afastballthat ranged in the mid to high 90s.<ref>{{cite book|title=baseball digest sep-oct 2009|url=http://books.google.co.jp/books?id=jcqjwdxrzb0c&lpg=pa1&hl=en&pg=pa6#v=onepage&q&f=false|author=|year=|publisher=lakeside publishing company|location=united states|pages=6|accessdate=june 13 2010}}</ref>,Karl_Spooner,2012,1292,0,,,,,,2009
however during spring training prior to the 1955 season spooner entered a game without warming up properly. a severe arm injury was the result and spooner would only appear in 29 more games in his career. prior to the injury spooner yielded afastballthat ranged in the mid to high 90s.<ref>{{cite book|title=baseball digest sep-oct 2009|url=http://books.google.co.jp/books?id=jcqjwdxrzb0c&lpg=pa1&hl=en&pg=pa6#v=onepage&q&f=false|author=|year=|publisher=lakeside publishing company|location=united states|pages=p. 6|accessdate=june 13 2010}}</ref>,Karl_Spooner,2010,1293,0,,,,,,2009
hundley was signed by the san francisco giants as an amateurfree agentin1960 san francisco giants season|1960.<ref name=randy hundley trades and transactions at baseball almanac>http://www.baseball-almanac.com/players/trades.php?p=hundlra01 randy hundley trades and transactions at baseball almanac</ref>in1965 chicago cubs season|1965 he was traded to the cubs along with future 20-game winnerbill handsin exchange forlindy mcdanielanddon landrum.<ref name=randy hundley trades and transactions at baseball almanac/><ref name=randy hundley at the baseball library>http://www.baseballlibrary.com/ballplayers/player.php?name=randy_hundley_1942 randy hundley at the baseball library</ref>he finished in fourth place in the {{by|1966}}national leaguemajor league baseball rookie of the year award|rookie of the yearvoting.<ref>http://www.baseball-reference.com/awards/awards_1966.shtml#nlroy 1966 national league rookie of the year voting results at baseball reference</ref>hundley was recognized as one of the best defensive catchers in the league winning the {{by|1967}}list of nl gold glove winners at catcher|gold glove awardfor catchers and setting a national league record by committing just four errors.<ref name=randy hundley at the baseball library/><ref>http://www.baseball-reference.com/awards/gold_glove_nl.shtml#1967 1967 national league gold glove award winners at baseball reference</ref>hundley popularized a new hingedbaseball_glove#varieties|catchers mittthat permitted a one-handed catching style protecting his throwing hand.<ref name=randy hundley at the baseball library/>he became a stalwart for the cubs setting a record in1968 chicago cubs season|1968with 160 games behind the plate (147 complete).<ref name=randy hundley at baseball reference/><ref name=randy hundley at the baseball library/><ref>http://books.google.com/books?id=cdqdaaaambaj&pg=pa10&dq=randy+hundley+baseball+digest#v=onepage&q=randy%20hundley%20baseball%20digest&f=false,Randy_Hundley,2009,1302,0,,,,,,NA
hundley was signed by the san francisco giants as an amateurfree agentin1960 san francisco giants season|1960.<ref name=randy hundley trades and transactions at baseball almanac>http://www.baseball-almanac.com/players/trades.php?p=hundlra01 randy hundley trades and transactions at baseball almanac</ref>in december1965 san francisco giants season|1965 he was traded to the cubs along with future 20-game winnerbill handsin exchange forlindy mcdanielanddon landrum.<ref name=randy hundley trades and transactions at baseball almanac/><ref name=randy hundley at the baseball library>http://www.baseballlibrary.com/ballplayers/player.php?name=randy_hundley_1942 randy hundley at the baseball library</ref>on august 111966 chicago cubs season|1966hundleyhitting for the cycle|hit for the cycleand finished the season in fourth place in the {{by|1966}}national leaguemajor league baseball rookie of the year award|rookie of the yearvoting.<ref name=baseball-reference.com>http://www.baseball-reference.com/boxes/chn/chn196608111.shtml august 11 1966 astros-cubs box score at baseball reference</ref><ref>http://www.baseball-reference.com/awards/awards_1966.shtml#nlroy 1966 national league rookie of the year voting results at baseball reference</ref>hundley was recognized as one of the best defensive catchers in the league winning the {{by|1967}}list of nl gold glove winners at catcher|gold glove awardfor catchers and setting anational leaguerecord by committing just four errors.<ref name=randy hundley at the baseball library/><ref>http://www.baseball-reference.com/awards/gold_glove_nl.shtml#1967 1967 national league gold glove award winners at baseball reference</ref>hundley was the first catcher to begin using a new hingedbaseball_glove#varieties|catchers mittthat permitted a one-handed catching style protecting his throwing hand.<ref name=randy hundley at the baseball library/><ref>http://books.google.com/books?id=ucsdaaaambaj&pg=pa58&,Randy_Hundley,2010,1303,0,,,,,,NA
hunt said in a july 2000 interview withbaseball digestthat he really began to get hit by pitches after being traded to san francisco. but hunt asked why would you hit me to facewillie mayswillie mccoveyandjim ray hart?http://findarticles.com/p/articles/mi_m0fci/is_7_59/ai_64150801/pg_1,Ron_Hunt,2008,1304,0,,,,,,NA
in 1924 horan started off with the reading keystones of the class aainternational league.<ref name=minors/>he batted .376 to lead the league before his contract was sold to the new york yankees in mid-season.<ref>http://www.baseball-reference.com/minors/leader.cgi?type=bat&id=d2a733af 1924 international league batting leaders. baseball-reference.com. retrieved october 20 2011.</ref><ref name=meany>meany tom.http://books.google.com/books?id=hi0daaaambaj&pg=pa42&dq=%22shags+horan%22&hl=en&ei=pqqgtq2joyfo0qgctudgba&sa=x&oi=book_result&ct=result&resnum=1&ved=0cc4q6aewaa#v=onepage&q=%22shags%20horan%22&f=false life in the switches.baseball digest. february 1962. pp. 42-43.</ref>horan appeared in 22 games for the yankees in july august and september of that year. he hit .290 with sevenrun batted in|runs batted inand no home runs.<ref>http://www.baseball-reference.com/players/gl.cgi?id=horansh01&t=b&year=1924 shags horan 1924 batting gamelogs. baseball-reference.com. retrieved october 20 2011.</ref>new york waived him after the season ended and about his time in the majors horan later said:<ref>stanton tom (2008).http://books.google.com/books?id=cldfoj15g2ec&pg=pa112&dq=%22shags+horan%22&hl=en&ei=pqqgtq2joyfo0qgctudgba&sa=x&oi=book_result&ct=result&resnum=3&ved=0cdgq6aewag#v=onepage&q=%22shags%20horan%22&f=false ty and the babe. macmillan. p. 112.</ref><blockquote>i dont care for those concrete fences. the ball hits them and you dont hear anything. in the minors you rattleem off those wooden fences and you stir up quite a racket.<ref name=meany/></blockquote>,Shags_Horan,2013,1326,0,,,,,,1962
in 1929 and 1932 fishers michigan teams played against teams in japan at the invitation of meiji university.<ref>simon. p.93.</ref><ref>{{cite web|url=http://michigantoday.umich.edu/98/sum98/mt14sm98.html|title=samurais of summer|author=yoshimura valerie nao|publisher=michigan today summer 1998|accessdate=2013-01-26}}</ref>fisher was active in the startup of the national association of college baseball coaches and served as its first vice president.<ref>the official national collegiate athletic association baseball guide 1958. pp. 28-31.</ref>during the 1940s he was hailed by sports writers as thefielding yostof the diamond<ref>ray fisher is baseballs yost.the michigan daily 17 june 1942: a prominent sports writer recently referred to michigans baseball coach ray fisher as the fielding yost of the diamond.</ref>and byesquire magazineas a close second tojack barry (baseball)|jack barryofcollege of the holy cross|holy crossas the top college baseball coach in the country.<ref>in 1946 the american association of college baseball coaches which had been formed the previous year sponsored an all star game between the east and midwest which was played at fenway park. fisher led the coaching staff for the midwest and barry for the east. this game was the precursor of the college world series games which began the following year. seethe official national collegiate athletic association baseball guide 1958.</ref> fisher was generally regarded as one of the nations premiere instructors of college pitchers.<ref>at the 2008 dedication of u of ms wilpon complex fred wilpon related that one reason he chose to attend the u of m in 1954 was that fisher was regarded as the top coach of college pitchers in the eastern u.s.</ref>while coaching summer teams in vermontsnorthern league (baseball 1902-71)|northern league<ref>simon. pp. 93-95.</ref>fisher mentoredrobin roberts (baseball)|robin roberts(19461947) who sent many accolades in fishers dire,Ray_Fisher,2013,1328,0,,,,,,NA
in 1999 rodrguez was selected american league mvp by major league baseball. that season he set a new record for home runs in a single season among catchers with 35. this record was later broken byjavy lpezof theatlanta bravesin 2003 who hit 42.<ref>{{cite web|url=http://www.baseball-almanac.com/recbooks/rb_hr2.shtml|title=baseball almanac home run records|accessdate=2007-12-30|publisher=baseball almanac}}</ref>rodrguez was also the first catcher to have more than 30&nbsp;home runs 100&nbsp;runs batted in and 100&nbsp;runs scored in the history of major league baseball. in addition he holds the distinction of being the first catcher in the history of the league to amass more than 20&nbsp;home runs and 20&nbsp;stolen bases. from may 8 1999 to june 1 1999 rodrguez had a career high 20 gamehitting streak. he had 25&nbsp;stolen bases which was fifth most among catchers in the history of the league. he led the league in times grounded into adouble play with 31. rodrguez was only the ninth catcher in the history of major league baseball to win the most valuable player award and he was the first to win it sincethurman munsonin {{by|1976}}. he was named on all of the ballots getting seven first place votes and six second place votes. rodrguez was the sixthpuerto rico|puerto ricanto win the award and the fourth player from the texas rangers to win it. he also won thesilver slugger awardfor the sixth time in a row and was selected most valuable player bybaseball digest. he was again named to all-star teams by theassociated pressthe sporting news andbaseball america.<ref name=1999 season>{{cite web|url=http://mlb.mlb.com/team/player_career.jsp?player_id=121358&y=1999|title=career biography (1999)|accessdate=2007-12-30|publisher=mlb.com}}</ref>,Iv%C3%A1n_Rodr%C3%ADguez,2008,1361,0,,,,,,NA
in 1999 rodrguez was selected american league mvp by major league baseball. that season he set a new record for home runs in a single season among catchers with 35. this record was later broken byjavy lpezof theatlanta bravesin 2003 who hit 42.<ref>{{cite web|url=http://www.baseball-almanac.com/recbooks/rb_hr2.shtml|title=baseball almanac home run records|accessdate=2007-12-30|publisher=baseball almanac}}</ref>rodrguez was also the first catcher to have more than 30&nbsp;home runs 100 runs batted in and 100 runs scored in the history of major league baseball. in addition he holds the distinction of being the first catcher in the history of the league to amass more than 20&nbsp;home runs and 20&nbsp;stolen bases. from may 8 1999 to june 1 1999 rodrguez had a career high 20 gamehitting streak. he had 25stolen bases which was fifth most among catchers in the history of the league. he led the league in times grounded into adouble play with 31. rodrguez was only the ninth catcher in the history of major league baseball to win the most valuable player award and he was the first to win it sincethurman munsonin {{by|1976}}. he was named on all of the ballots getting seven first place votes and six second place votes. rodrguez was the sixthpuerto rico|puerto ricanto win the award and the fourth player from the texas rangers to win it. he also won thesilver slugger awardfor the sixth time in a row and was selected most valuable player bybaseball digest. he was again named to all-star teams by theassociated pressthe sporting news andbaseball america.<ref name=1999 season>{{cite web|url=http://mlb.mlb.com/team/player_career.jsp?player_id=121358&y=1999|title=career biography (1999)|accessdate=2007-12-30|publisher=mlb.com}}</ref>while he was hitting home runs he wasnt taking many walks. he is one of only six players active in 2009 who have had at least 30 home runs in a season in which they had more homers than walks (34 hr 24,Iv%C3%A1n_Rodr%C3%ADguez,2009,1362,0,,,,,,NA
in 1999 rodrguez was selected as the american league mvp. he set a new american league record for home runs in a single season among catchers with 35. rodrguez was also the first catcher to have more than 30&nbsp;home runs 100 runs batted in and 100 runs scored in the history of major league baseball. in addition he holds the distinction of being the first catcher in the history of the league to amass more than 20&nbsp;home runs and 20&nbsp;stolen bases. from may 8 1999 to june 1 1999 rodrguez had a career high 20 gamehitting streak. he had 25stolen bases which was fifth most among catchers in the history of the league. he led the league in times grounded into adouble play with 31. rodrguez was only the ninth catcher in the history of major league baseball to win the most valuable player award and he was the first to win it sincethurman munsonin 1976. he was named on all of the ballots getting seven first place votes and six second place votes. rodrguez was the sixthpuerto rico|puerto ricanto win the award and the fourth player from the texas rangers to win it. he also won thesilver slugger awardfor the sixth time in a row and was selected most valuable player bybaseball digest. he was again named to all-star teams by theassociated pressthe sporting news andbaseball america.<ref name=1999 season>{{cite web|url=http://mlb.mlb.com/team/player_career.jsp?player_id=121358&y=1999|title=career biography (1999)|accessdate=december 30 2007|publisher=mlb.com}}</ref>while he was hitting home runs he wasnt taking many walks. he is one of only six players active in 2009 who have had at least 30 home runs in a season in which they had more homers than walks (34 hr 24 bb in 1999). the others arealfonso soriano(3923 in 2002 3633 in 2005 3331 in 2007)garret anderson(3524 in 2000)ryan braun(3429 in 2007)joe crede(3028 in 2006) andjos guilln(3124 in 2003).<ref>{{cite web|author=4:57|url=http://sports.espn.go.com,Iv%C3%A1n_Rodr%C3%ADguez,2011,1363,0,,,,,,NA
in 1999 rodrguez was selected as the american league mvp. he set a new american league record for home runs in a single season among catchers with 35. rodrguez was also the first catcher to have more than 30&nbsp;home runs 100 runs batted in and 100 runs scored in the history of major league baseball. in addition he holds the distinction of being the first catcher in the history of the league to amass more than 20&nbsp;home runs and 20&nbsp;stolen bases. from may 8 1999 to june 1 1999 rodrguez had a career high 20 gamehitting streak. he had 25stolen bases which was fifth most among catchers in the history of the league. he led the league in times grounded into adouble play with 31. rodrguez was only the ninth catcher in the history of major league baseball to win the most valuable player award and he was the first to win it sincethurman munsonin 1976. he was named on all of the ballots getting seven first place votes and six second place votes. rodrguez was the sixthpuerto rico|puerto ricanto win the award and the fourth player from the texas rangers to win it. he also won thesilver slugger awardfor the sixth time in a row and was selected most valuable player bybaseball digest. he was again named to all-star teams by theassociated pressthe sporting news andbaseball america.<ref name=1999 season>{{cite web|url=http://mlb.mlb.com/team/player_career.jsp?player_id=121358&y=1999|title=career biography (1999)|accessdate=december 30 2007|publisher=mlb.com}}</ref>while he was hitting home runs he wasnt taking many walks. he is one of only six players active in 2009 who have had at least 30 home runs in a season in which they had more homers than walks (34 hr 24 bb in 1999). the others arealfonso soriano(3923 in 2002 3633 in 2005 3331 in 2007)garret anderson(3524 in 2000)ryan braun(3429 in 2007)joe crede(3028 in 2006) andjos guilln(3124 in 2003).<ref>{{cite web|author=jayson stark|url=http://sports.espn.,Iv%C3%A1n_Rodr%C3%ADguez,2012,1364,0,,,,,,NA
in 1999 rodrguez was selected as the american league mvp. he set a new record for home runs in a single season among catchers with 35. this record was broken byjavy lpezof theatlanta bravesin 2003 who hit 42.<ref>{{cite web|url=http://www.baseball-almanac.com/recbooks/rb_hr2.shtml|title=baseball almanac home run records|accessdate=2007-12-30|publisher=baseball almanac}}</ref>rodrguez was also the first catcher to have more than 30&nbsp;home runs 100 runs batted in and 100 runs scored in the history of major league baseball. in addition he holds the distinction of being the first catcher in the history of the league to amass more than 20&nbsp;home runs and 20&nbsp;stolen bases. from may 8 1999 to june 1 1999 rodrguez had a career high 20 gamehitting streak. he had 25stolen bases which was fifth most among catchers in the history of the league. he led the league in times grounded into adouble play with 31. rodrguez was only the ninth catcher in the history of major league baseball to win the most valuable player award and he was the first to win it sincethurman munsonin 1976. he was named on all of the ballots getting seven first place votes and six second place votes. rodrguez was the sixthpuerto rico|puerto ricanto win the award and the fourth player from the texas rangers to win it. he also won thesilver slugger awardfor the sixth time in a row and was selected most valuable player bybaseball digest. he was again named to all-star teams by theassociated pressthe sporting news andbaseball america.<ref name=1999 season>{{cite web|url=http://mlb.mlb.com/team/player_career.jsp?player_id=121358&y=1999|title=career biography (1999)|accessdate=2007-12-30|publisher=mlb.com}}</ref>while he was hitting home runs he wasnt taking many walks. he is one of only six players active in 2009 who have had at least 30 home runs in a season in which they had more homers than walks (34 hr 24 bb in 1999). the others arealfonso soriano,Iv%C3%A1n_Rodr%C3%ADguez,2010,1365,0,,,,,,NA
in 2000 helton enjoyed his best season leading the national league hitters in batting average (.372) and also winning the overall major league batting title over theamerican league-leading red sox shortstopnomar garciaparra. in 2000 helton led the major leagues in rbis (147) hits (216) doubles (59) total bases (405) on base percentage (.463) slugging average (.698) and ops (1.162). helton became only the 4th player innational leaguehistory to lead the nl in both batting average and rbis. he also receivednational leagueplayer of the monthawards for may and august. helton finished 5th in voting for the mvp award. baseball digestnamed helton the player of the year.,Todd_Helton,2007,1366,0,,,,,,NA
in 2009 baseball digest hired gotham sports media to create baseballdigest.com. the new baseballdigest.com provides coverage of baseball from college to the major leagues including international baseball.,Baseball_Digest,2010,1368,0,,,,,,NA
in1963 in baseball|1963 finley changed the teams colors to kelly green gold and white. in1967 in baseball|1967 he replaced the teams traditional black cleats with white ones. finley also started phasing out the team name athletics in favor of as. (whenmickey mantlesaw the asgreen-and-gold uniforms he jeered they should have come out of the dugout on tippy-toes holding hands and singing according tobaseball digest.),Charlie_Finley,2013,1395,0,,,,,,NA
in2001 in baseball|2001 wooten spent his first full season in the major leagues with anaheim (qualifying asrookie) after making the 25-man roster out ofspring training. he opened the campaign batting .385 (10-for-26) with three home runs and six runs batted in in april leading allamerican leaguerookies in home runs for the month. in june he led angels hitters with a .386 average (17-for-44) and was batting .328 (42-for-128) at themajor league baseball all-star game|all-starbreak second toseattle mariners|seattlesichiro suzukiamong al rookies (based on 125at bat|at-bats). wooten hit safely in 47 contests including 17 multi-hit games. his season ended when doctors discovered torn cartilage in his left wrist in early september and underwentarthroscopic surgery. at the time he was hitting .312 (69-for-221) with eight home runs and 32 runs batted in in 79 games and ranked second amongamerican leaguefirst-year players with a .466slugging percentage. nevertheless he was selected for thebaseball digestandtoppsmajor league baseball rookie all-star teams. at the time of theinjury his .312 average was second best among american league rookies and was tops on the angelsclub.,Shawn_Wooten,2007,1413,0,,,,,,NA
in2001 in baseball|2001 wooten spent his first full season in major leagues with anaheim (qualifying asrookie) after making 25-man roster out ofspring training. he opened campaign batting .385 (10-for-26) with three hr and six rbi in april leading allamerican leaguerookies in hr for the month. in june he led angels hitters with a .386 average (17-for-44) and was batting .328 (42-for-128) at themajor league baseball all-star game|all-starbreak second toseattle mariners|seattlesichiro suzukiamong al rookies (based on 125at bat|at-bats). wooten hit safely in 47 contests including 17 multi-hit games. his season ended when doctors discovered torn cartilage in his left wrist in september 5 and underwent arthroscopic surgery. at the time he was hitting .312 (69-for-221) with eight hr and 32 rbi in 79 games and ranked second among al first-year players with a .466slugging percentage. nevertheless he was selected for thebaseball digestandtoppsmlb rookie all-star teams. at time of injury his .312 average was second best among al rookies and tops on angelsclub.,Shawn_Wooten,2005,1414,0,,,,,,NA
in a 12 december 2011 new york baseball digest article written by mike silva rocker readily admitted to using steroids yeah of course i wasusing steroids. i mean who wasnt? lets be honest here who wasnt? <ref>http://nybaseballdigest.com/?p=41966</ref>,John_Rocker,2012,1450,0,,,,,,NA
in a 24 year career dempsey played in 1765games played|games accumulating 1093hit (baseball)|hitsin 4692at batsfor a .233 career batting average along with 96home runs and 471runs batted in.<ref name=rick dempsey at baseball reference/>he ended his career with a .988fielding percentage.<ref name=rick dempsey at baseball reference/>dempsey led american league catchers twice in fielding percentage twice in baserunnerscaught stealingand once inassist (baseball)|assists.<ref name=rick dempsey at baseball reference/>he played more games as a catcher than any other player in orioles history (1230).<ref>http://members.tripod.com/bb_catchers/catchers/mostgame.htm most games caught for team at the encyclopedia of baseball catchers</ref>during his career dempsey caught ten different twenty game winningpitchers.<ref name=rick dempsey looks back on his 24 seasons as a big league catcher/>while he was a light-hitting player dempseys lengthy major league career was due in part to his excellent defensive skills.<ref name=for catchers the name of the game is defense/>he usually did not make a large contribution offensively; he holds the major league record for the most seasons with enough plate appearances to qualify for the batting title less than 50 runs or rbi with 22.{{citation needed|date=july 2010}} during his season with the brewers dempsey made tworelief pitchingappearances giving three hits and one run in two innings pitched.<ref>http://www.baseball-reference.com/players/d/dempsri01.shtml#pitching_simple rick dempsey pitching statistics at baseball reference</ref>he was a durable player only going on thedisabled listtwice in his career.<ref name=rick dempsey: his career survives fires of combat>http://books.google.com/books?id=kssdaaaambaj&pg=pa54&dq=rick+dempsey+baseball+digest&hl=en&ei=r144tlnlhooclgeytohjaq&sa=x&oi=book_result&ct=result&resnum=2&ved=0cdaq6aewaq#v=onepage&q&f=falserick dempsey: his career survives fire,Rick_Dempsey,2010,1487,0,,,,,,NA
in a december 12 2011 new york baseball digest article written by mike silva rocker readily admitted to using steroids yeah of course i wasusing steroids. i mean who wasnt? lets be honest here who wasnt?<ref>{{cite web|author=silva mike|url=http://nybaseballdigest.com/2011/12/12/john-rocker-on-new-book-the-mets-bud-selig-steroids-and-politics/|title=john rocker on new book the mets bud selig steroids and politics|publisher=mike silvas ny baseball digest|date=december 12 2011}}</ref>,John_Rocker,2013,1490,0,,,,,,NA
in a sixteen-year major league career guilln played in 1993games played|games accumulating 1764hit (baseball)|hitsin 6686at batsfor a .264 career batting average along with 28 home runs 619 runs batted in and anon base percentageof .287.<ref name=ozzie guillen at baseball reference/>guilln was anmajor league baseball all-star game|all-starin 1988 19901991 and won thegold glove awardin1990 chicago white sox season|1990.<ref name=ozzie guillen at baseball reference/><ref>{{cite web|url=http://www.baseball-reference.com/awards/gold_glove_al.shtml|title=american league gold glove winners|publisher=baseball reference|accessdate=august 21 2010 }}</ref>he led american league shortstops twice inrange factor once inassist (baseball)|assistsand once infielding percentage.<ref name=ozzie guillen at baseball reference/>guillns .974 career fielding percentage ranks him 40th overall among major league shortstops ahead of both luis aparicio and dave concepcion.<ref>{{cite web|url=http://www.baseball-reference.com/leaders/fielding_perc_ss_career.shtml|title=career leaders & records for fielding percentage for shortstops|publisher=baseball reference|accessdate=august 21 2010 }}</ref>while he was considered one of the best fielding shortstops in the american league guilln was often overlooked in post-season awards because his playing career coincided with that ofcal ripken jr.<ref name=ozzie guillen still retains defensive edge at short/>guilln ranks among the white sox all-time leaders ingames playedhit (baseball)|hits andat bat|at-bats.<ref>{{cite web|url=http://www.baseball-reference.com/teams/chw/leaders_bat.shtml|title=chicago white sox batting leaders|publisher=baseball reference|accessdate=august 21 2010 }}</ref>as a hitter he was known as a free swinger posting one of the highestat batsperwalk (baseball)|walkratios in major league history.<ref>{{cite book|url=http://books.google.com/books?id,Ozzie_Guill%C3%A9n,2012,1496,0,,,,,,NA
in additionbaseball digestprovides season-ending features on its all-star rookie team along with player andpitcherof the year ratings.,Baseball_Digest,2007,1501,0,,,,,,NA
in addition baseball digest provides season-ending features on itsmajor league baseball all-star game|all-starrookie team along withbaseball|playerandpitcherof the year ratings.,Baseball_Digest,2004,1502,0,,,,,,NA
in his career through the 2008 season jones is a .310/.408/.548 hitter with 408home runs 1243base on balls|walks and 1374run batted in|rbiin 2023 games. he is behind onlymickey mantleandeddie murrayon the all-timeswitch hitters career home run list. he is considered one of the games best all-around hitters and one of the best switch hitters in the history of the game.<ref>http://www.sportingnews.com/blog/pikecracker/79624 sporting news - your expert source for mlb baseball nfl football nba basketball nhl hockey ncaa football ncaa basketball and fantasy sports scores blogs and articles<!-- bot generated title --></ref><ref>http://findarticles.com/p/articles/mi_m0fci/is_4_59/ai_64150730 chipper jones moves up among major leaguesbest switch-hitters|baseball digest|find articles at bnet.com<!-- bot generated title --></ref> he is the only switch hitter in major league baseball history to have a .300+ career (.310 as of august 9 2008)batting averageand 400 home runs.,Chipper_Jones,2008,1528,0,,,,,,NA
in his career through the 2009 season jones is a .307/.406/.541 hitter with 426home runs 1343base on balls|walks and 1445run batted in|rbiin 2166 games. he is behind onlymickey mantleandeddie murrayon the all-timeswitch hitters career home run list. he is considered one of the games best all-around hitters and one of the best switch hitters in the history of the game.<ref>http://www.sportingnews.com/blog/pikecracker/79624 sporting news - your expert source for mlb baseball nfl football nba basketball nhl hockey ncaa football ncaa basketball and fantasy sports scores blogs and articles<!-- bot generated title --></ref><ref>http://findarticles.com/p/articles/mi_m0fci/is_4_59/ai_64150730 chipper jones moves up among major leaguesbest switch-hitters|baseball digest|find articles at bnet.com<!-- bot generated title --></ref> he is the only switch hitter in major league baseball history to have a .300+ career (.307 at the end of the 2009 season)batting averageand 400 or more home runs.,Chipper_Jones,2009,1529,0,,,,,,NA
in his later years fussell lived insyracuse new york and worked as a lathe operator.<ref name=james>james bill (1995).http://books.google.com/books?id=lmra1hk7ms8c&pg=pa151&dq=%22frederick+m.+fussell%22&hl=en&ei=5dpgtqf6lylx0qhuuuwj&sa=x&oi=book_result&ct=result&resnum=1&ved=0cc8q6aewaa#v=onepage&q=%22frederick%20m.%20fussell%22&f=false whatever happened to the hall of fame?. simon and schuster. p. 151.</ref>late in fussells lifebaseball hall of famehistorianlee allen (baseball)|lee allenwrote a piece about him in abaseball digestarticle.<ref name=james/> he died in 1966.<ref name=statistics/>,Fred_Fussell,2011,1533,0,,,,,,NA
in july 2009 the new york yankees minnesota twins florida marlins and los angeles dodgers had all expressed interest in trading for grabow.<ref>http://nybaseballdigest.com/?p=12756 russo frank rumor mill: wang halladay wells cliff lee and othersny baseball digest 7/16/09 accessed 7/23/09</ref><ref>http://www.examiner.com/x-8981-minnesota-twins-examiner~y2009m7d16-twins-add-mulvey-as-12th-pitcher</ref><ref>http://www.miamiherald.com/sports/story/1137832.html</ref><ref>http://mlb.mlb.com/news/article.jsp?ymd=20090723&content_id=6013174&vkey=news_mlb&fext=.jsp&c_id=mlb</ref> asked about the possibility of the pirates trading him grabow failing to stifle a grin responded im untouchable dude. no way theyre trading me.<ref>http://www.post-gazette.com/pg/09186/981888-63.stm on the pirates: no avoiding the middlemenpittsburgh post-gazette 7/5/09 accessed 7/23/09</ref>on july 30 grabow was traded to the chicago cubs along with fellow left-handed pitchertom gorzelannyfor right-handed pitcherskevin hart (baseball)|kevin hartandjose ascanioand minor league third baseman josh harrison.<ref>http://www.post-gazette.com/pg/09211/987565-100.stm kovacevic dejan grabow gorzelanny traded to cubspittsburgh post-gazette 7/30/09 accessed 8/16/09</ref>,John_Grabow,2009,1540,0,,,,,,NA
in march 2012 baseball digest merged with professional scouting service proscouting.<ref>http://mrmagazine.wordpress.com/2012/05/04/you-dont-know-america-if-you-dont-know-baseball-and-you-dont-know-baseball-if-you-dont-know-baseball-digest-magazine-the-mr-magazine-interview-with-norman-jacobs-publisher-of-base</ref>this merger brought together baseball digests expertise in fan-level publishing with proscoutings depth of professional scouting experience just in time for baseball digests 70th anniversry issue september 4 2012. the relaunch included major changes to the magazines format including being published in full-color for the first time nearly double the editorial content including professional scouting reports by veteran mlb scouts and a significant increase in newsstand availability.,Baseball_Digest,2013,1545,0,,,,,,NA
in november 2009 backman was hired by thenew york metsto manage their class a affiliatebrooklyn cyclones. according tobaseball digest backman had asked fitzgerald for the cell phone number of mets coojeff wilpon<ref>{{cite web|url=http://www.baseballdigest.com/2009/11/19/backman-where-he-oughta-be/|title=backman where he oughtta be|accessdate=2009-11-19|publisher=mark healey / baseballdigest.com}}</ref>. after calling wilpon backman reportedly impressed the team during a series of interviews leading to his hiring<ref>{{cite web|url=http://www.nytimes.com/2009/11/18/sports/baseball/18backman.html|title=mets give wally backman a second chance|accessdate=2009-11-17|publisher=new york times}}</ref>.,Playing_for_Peanuts,2009,1558,0,,,,,,2009
in {{by|2001}} wooten spent his first full season in the major leagues with anaheim (qualifying as arookie) after making the 25-man roster out ofspring training. he opened the campaign batting .385 (10-for-26) with three home runs and six runs batted in in april leading allamerican leaguerookies in home runs for the month. in june he led angels hitters with a .386 average (17-for-44) and was batting .328 (42-for-128) at themajor league baseball all-star game|all-starbreak second toseattle mariners|seattlesichiro suzukiamong al rookies (based on 125at bat|at-bats). wooten hit safely in 47 contests including 17 multi-hit games. his season ended when doctors discovered torn cartilage in his left wrist in early september and underwentarthroscopic surgery. at the time he was hitting .312 (69-for-221) with eight home runs and 32 runs batted in in 79 games and ranked second amongamerican leaguefirst-year players with a .466slugging percentage. nevertheless he was selected for thebaseball digestandtoppsmajor league baseball rookie all-star teams. at the time of theinjury his .312 average was second best among american league rookies and was tops on the angelsclub.,Shawn_Wooten,2009,1590,0,,,,,,NA
